ListSchema={"schemaXmlList":["<Field ID=\"{fa564e0f-0c70-4ab9-b863-0177e6ddd247}\" Type=\"Text\" Name=\"Title\" DisplayName=\"Title\" Required=\"FALSE\" SourceID=\"http://schemas.microsoft.com/sharepoint/v3\" StaticName=\"Title\" FromBaseType=\"TRUE\" MaxLength=\"255\" />","<Field CommaSeparator=\"TRUE\" CustomUnitOnRight=\"TRUE\" DisplayName=\"Day\" Format=\"Dropdown\" IsModern=\"TRUE\" Name=\"Day\" Percentage=\"FALSE\" Title=\"Day\" Type=\"Number\" Unit=\"None\" ID=\"{635d441b-d4b3-4a40-8198-470b05c2e4fc}\" StaticName=\"Day\" />","<Field DisplayName=\"Headline\" Format=\"Dropdown\" IsModern=\"TRUE\" MaxLength=\"255\" Name=\"Headline\" Title=\"Headline\" Type=\"Text\" ID=\"{cebf08db-81d8-4bb3-a62f-b977c24131c0}\" StaticName=\"Headline\" />","<Field AppendOnly=\"FALSE\" ClientSideComponentId=\"00000000-0000-0000-0000-000000000000\" DisplayName=\"Daily Content\" Format=\"Dropdown\" IsolateStyles=\"FALSE\" Name=\"DailyContent\" RichText=\"FALSE\" RichTextMode=\"Compatible\" Title=\"Daily Content\" Type=\"Note\" ID=\"{89419b5a-f283-45e4-8aa6-14c52643b2fb}\" StaticName=\"DailyContent\" />","<Field AppendOnly=\"FALSE\" DisplayName=\"Prompt\" Format=\"Dropdown\" IsModern=\"TRUE\" IsolateStyles=\"FALSE\" Name=\"Prompt\" RichText=\"FALSE\" RichTextMode=\"Compatible\" Title=\"Prompt\" Type=\"Note\" ID=\"{224ae849-3eba-423c-ba51-48c3e3b91a3b}\" StaticName=\"Prompt\" />","<Field AppendOnly=\"FALSE\" DisplayName=\"Additional Information\" Format=\"Dropdown\" IsModern=\"TRUE\" IsolateStyles=\"FALSE\" Name=\"AdditionalInformation\" RichText=\"FALSE\" RichTextMode=\"Compatible\" Title=\"Additional Information\" Type=\"Note\" ID=\"{16f87f0b-46ab-4d37-b219-b37e24a81157}\" StaticName=\"AdditionalInformation\" />","<Field AppendOnly=\"FALSE\" ClientSideComponentId=\"00000000-0000-0000-0000-000000000000\" DisplayName=\"Prompt Link\" Format=\"Dropdown\" IsolateStyles=\"FALSE\" Name=\"PromptLink\" RichText=\"FALSE\" RichTextMode=\"Compatible\" Title=\"Prompt Link\" Type=\"Note\" ID=\"{bbedab92-bcc3-42a8-bde6-ab79e8dedf9b}\" StaticName=\"PromptLink\" />","<Field ID=\"{82642ec8-ef9b-478f-acf9-31f7d45fbc31}\" DisplayName=\"Title\" Description=\"\" Name=\"LinkTitle\" SourceID=\"http://schemas.microsoft.com/sharepoint/v3\" StaticName=\"LinkTitle\" Type=\"Computed\" ReadOnly=\"TRUE\" FromBaseType=\"TRUE\" Width=\"150\" DisplayNameSrcField=\"Title\" Sealed=\"FALSE\"><FieldRefs><FieldRef Name=\"Title\" /><FieldRef Name=\"LinkTitleNoMenu\" /><FieldRef Name=\"_EditMenuTableStart2\" /><FieldRef Name=\"_EditMenuTableEnd\" /></FieldRefs><DisplayPattern><FieldSwitch><Expr><GetVar Name=\"FreeForm\" /></Expr><Case Value=\"TRUE\"><Field Name=\"LinkTitleNoMenu\" /></Case><Default><HTML><![CDATA[<div class=\"ms-vb itx\" onmouseover=\"OnItem(this)\" CTXName=\"ctx]]></HTML><Field Name=\"_EditMenuTableStart2\" /><HTML><![CDATA[\">]]></HTML><Field Name=\"LinkTitleNoMenu\" /><HTML><![CDATA[</div>]]></HTML><HTML><![CDATA[<div class=\"s4-ctx\" onmouseover=\"OnChildItem(this.parentNode); return false;\">]]></HTML><HTML><![CDATA[<span>&nbsp;</span>]]></HTML><HTML><![CDATA[<a onfocus=\"OnChildItem(this.parentNode.parentNode); return false;\" onclick=\"PopMenuFromChevron(event); return false;\" href=\"javascript:;\" title=\"Open Menu\"></a>]]></HTML><HTML><![CDATA[<span>&nbsp;</span>]]></HTML><HTML><![CDATA[</div>]]></HTML></Default></FieldSwitch></DisplayPattern></Field>"]}
"Day","Headline","Daily Content","Prompt","Prompt Link","Additional Information"
"11","Expand your expertise<br>with Microsoft 365 Copilot. ","The more you know, the better your work can be. This week in the Great Copilot Journey, we'll use Microsoft 365 Copilot to expand your expertise, gain knowledge and gather insights. Ready? Let’s open Microsoft 365 Copilot Chat and try this prompt for a few topics: ","Help me learn about [topic]. Start with a detailed write up that explains what it is and why it’s important. ","https://www.microsoft365.com/chat/entity1-d870f6cd-4aa5-4d42-9626-ab690c041429/eyJpZCI6IlRXbGpjbTl6YjJaMFZqSjhhSFIwY0hNNkx5OXpkV0p6ZEhKaGRHVXRhVzUwTG05bVptbGpaUzVqYjIwdmZHUjFiVzE1ZkRjell6QmlObVJpTFRjME4yWXRORFJpTnkwNFpEYzFMVGhoWm1ReE9ERTJaams1Wm54bGJpMTFjdyUzZCUzZCIsInNjZW5hcmlvIjoic2hhcmVMaW5rIiwiY2hhdFR5cGUiOiJ3b3JrIiwicHJvcGVydGllcyI6eyJwcm9tcHRTb3VyY2UiOiJtaWNyb3NvZnQiLCJjbGlja1RpbWVzdGFtcCI6IjIwMjQtMTAtMzFUMTc6MDM6MjAuNzYwWiJ9LCJ2ZXJzaW9uIjoxLjF9?auth=2","Copilot can help you learn about anything and answer your follow-up questions, too. 

To learn more or see what’s ahead on your journey,
visit https://aka.ms/GreatCopilotJourney. "
"12","Get tips to improve your work<br>with Microsoft 365 Copilot. ","Today, we’ll focus on using Microsoft 365 Copilot to help you improve your work. Open an existing Microsoft Word document, click the Copilot icon and use this prompt: ","Give me specific examples from this document on how I can improve it for [a leadership review]. ",,"You can also use Copilot to simplify a document or rewrite it. 

To learn more or see what’s ahead on your journey,
visit https://aka.ms/GreatCopilotJourney. "
"13","Gain insights with the help of<br>Microsoft 365 Copilot. ","Finding insights from large data sets can be difficult. Let’s use Microsoft 365 Copilot to identify trends in Microsoft Excel. Open an existing spreadsheet, click the Copilot icon, and start with this prompt: ","Are there any trends in my data? ",,"Add more details or ask specific questions about what insights you’re looking for. 

To learn more or see what’s ahead on your journey,
visit https://aka.ms/GreatCopilotJourney. "
"14","Get coaching with Microsoft 365 Copilot. ","Today, we’ll use Microsoft 365 Copilot as your coach to give you tips and tricks to improve your work. Open Microsoft 365 Copilot Chat and use this prompt for a few different topics: "," Give me tips to [improve my LinkedIn presence]. 
 
 ","https://www.microsoft365.com/chat/entity1-d870f6cd-4aa5-4d42-9626-ab690c041429/eyJpZCI6IlRXbGpjbTl6YjJaMFZqSjhhSFIwY0hNNkx5OXpkV0p6ZEhKaGRHVXRhVzUwTG05bVptbGpaUzVqYjIwdmZHUjFiVzE1ZkRCbVpEa3pOR05sTFRJMFpXSXROR1F4WlMxaVlUa3pMV1pqWWpjeE5EbG1aV1prTlh4bGJpMTFjdyUzZCUzZCIsInNjZW5hcmlvIjoic2hhcmVMaW5rIiwicHJvcGVydGllcyI6eyJwcm9tcHRTb3VyY2UiOiJtaWNyb3NvZnQiLCJjbGlja1RpbWVzdGFtcCI6IjIwMjQtMTItMTVUMDE6NTY6MzMuMjY1WiJ9LCJjaGF0VHlwZSI6IndvcmsiLCJ2ZXJzaW9uIjoxLjF9","Ask Copilot for to coach you on any topic you’re interested in. 

To learn more or see what’s ahead on your journey,
visit https://aka.ms/GreatCopilotJourney. "
"15","Get personalized tips with Microsoft 365 Copilot. ","You’ve reached the halfway point of the Great Copilot Journey! It’s time to use humor and wit to get actionable advice with Microsoft 365 Copilot. Pick your favorite topic of interest, open Microsoft 365 Copilot Chat and try this prompt: "," In the style of a [tennis] coach using [tennis] analogies, help me improve my performance and habits by looking over my recent work and communications. ","https://www.microsoft365.com/chat/entity1-d870f6cd-4aa5-4d42-9626-ab690c041429/eyJpZCI6IlRXbGpjbTl6YjJaMFZqSjhhSFIwY0hNNkx5OXpkV0p6ZEhKaGRHVXRhVzUwTG05bVptbGpaUzVqYjIwdmZHUjFiVzE1ZkRVeE5qZzJPVEprTFdGaFpqWXRORFJrT0MwNVlqWTFMVEV3WVdVME16QTVNR00zTUh4bGJpMTFjdyUzZCUzZCIsInNjZW5hcmlvIjoic2hhcmVMaW5rIiwicHJvcGVydGllcyI6eyJwcm9tcHRTb3VyY2UiOiJtaWNyb3NvZnQiLCJjbGlja1RpbWVzdGFtcCI6IjIwMjQtMTItMTVUMDE6NDQ6NTcuMjY5WiJ9LCJjaGF0VHlwZSI6IndvcmsiLCJ2ZXJzaW9uIjoxLjF9","Share this prompt with your team and see what interest they pick. It’s fun. 

Next week, we’ll learn how to use Copilot to enhance collaboration with your team. To learn more or see what’s ahead on your journey, visit https://aka.ms/GreatCopilotJourney. "
"16","Enhance collaboration<br>with Microsoft 365 Copilot. ","You may have heard the saying ""teamwork makes the dream work."" That's the spirit of week 4 of the Great Copilot Journey. We will use Microsoft 365 Copilot to enhance your collaboration with your team. Let's open Microsoft 365 Copilot Chat and practice this prompt: ","Suggest common questions that can be asked to get a retrospective started with my colleagues. For real","https://www.microsoft365.com/chat/entity1-d870f6cd-4aa5-4d42-9626-ab690c041429/eyJpZCI6IlRXbGpjbTl6YjJaMFZqSjhhSFIwY0hNNkx5OXpkV0p6ZEhKaGRHVXRhVzUwTG05bVptbGpaUzVqYjIwdmZHUjFiVzE1ZkRjM016VmlNVGxpTFdJME1XRXRORFppTnkwNE5tWXdMV1kxWW1KbE9HSmhPRFU1Wkh4bGJpMTFjdyUzZCUzZCIsInNjZW5hcmlvIjoic2hhcmVMaW5rIiwiY2hhdFR5cGUiOiJ3b3JrIiwicHJvcGVydGllcyI6eyJwcm9tcHRTb3VyY2UiOiJtaWNyb3NvZnQiLCJjbGlja1RpbWVzdGFtcCI6IjIwMjQtMTAtMzFUMTc6MDA6MzYuODkyWiJ9LCJ2ZXJzaW9uIjoxLjF9?auth=2","Use prompts like this for ice breakers, kick-off calls or other meetings throughout your day. 

To learn more or see what’s ahead on your journey,
visit https://aka.ms/GreatCopilotJourney. "
"17","Keep up the momentum<br>with Microsoft 365 Copilot. ","Just got out of a productive meeting? Keep the momentum going by following up with your colleagues with the help of Microsoft 365 Copilot. Start a new email in Microsoft Outlook, click the Copilot icon, and practice this prompt throughout your day: ","Write a follow-up email to /[meeting] to drive continued progress. ",,"Ask Copilot to include action items or list the pros and cons of what was discussed. 

To learn more or see what’s ahead on your journey,
visit https://aka.ms/GreatCopilotJourney. "
"18","Get organized for meetings<br>with Microsoft 365 Copilot. ","An agenda is like having a map, with important stops that will bring your team along and keep you on track. Let’s open a new page in Microsoft Loop, click the Copilot icon and use this prompt: ","Draft an agenda for /[meeting].",,"Add relevant details of topics you want to cover. 

To learn more or see what’s ahead on your journey,
visit https://aka.ms/GreatCopilotJourney. "
"19","Generate ideas with Microsoft 365 Copilot. ","Sometimes you need that first spark to get a discussion or brainstorm started. Let’s use Microsoft 365 Copilot help. While in a Microsoft Teams meeting, click the Copilot icon and try this prompt. (Don’t worry, others on the call can’t see what you type into Copilot). ","What questions can the group ask to generate more ideas or insights? Limit each to 30-60 characters. ",,"Also ask Copilot if there are any points your team might not be thinking of. 

To learn more or see what’s ahead on your journey,
visit https://aka.ms/GreatCopilotJourney. "
"20","Let’s have some fun<br>with Microsoft 365 Copilot. ","What’s a journey without a little fun with your team? Open Microsoft 365 Copilot Chat and use this prompt to find out what kind of superhero squad your team would be: ","Act like a comic book writer with a flair for turning ordinary teams into extraordinary heroes. Invent a superhero team that includes me and my current top 5 collaborators. Look at my emails, teams chats, and meetings from the last 2 weeks to get inspiration for each person’s strengths, work habits and unique contributions. Give each person a fun superhero name, superpowers, nemesis and signature move. Format this like a character dossier. 
 ","https://www.microsoft365.com/chat/entity1-d870f6cd-4aa5-4d42-9626-ab690c041429/eyJpZCI6IlRXbGpjbTl6YjJaMFZqSjhhSFIwY0hNNkx5OXpkV0p6ZEhKaGRHVXRjMlJtTFdsdWRDNXZabVpwWTJVdVkyOXRMM3hrZFcxdGVYdzJNR1U1TURCbU5DMHpNMlJpTFRSbFpEY3RZamRtT1Mxa09HVmlaVEptTURnMU56TjhaVzR0ZFhNJTNkIiwic2NlbmFyaW8iOiJzaGFyZUxpbmsiLCJwcm9wZXJ0aWVzIjp7InByb21wdFNvdXJjZSI6Im1pY3Jvc29mdCIsImNsaWNrVGltZXN0YW1wIjoiMjAyNC0xMi0xMFQyMDowOTo0NC44NTJaIn0sImNoYXRUeXBlIjoid29yayIsInZlcnNpb24iOjEuMX0","Ready to save the day? Share this prompt (and your result) with your team. 

Next week, we’ll learn how to turn Copilot agents into your personal coaches. To learn more or see what’s ahead on your journey, visit https://aka.ms/GreatCopilotJourney. "
"21","Learn how to use agThanki ents in Microsoft 365 Copilot. ","Week 5 of the Great Copilot Journey is all about using agents in Microsoft 365 Copilot Chat. Agents work like a personal coach that specializes in a specific field. Microsoft 365 Copilot comes with several ready-made agents that have pre-configured prompt suggestions, making it easy to get the coaching you need. 
 
Let’s start with Prompt Coach to help you create better prompts. Go to Copilot Chat, open the side pane on the right, and select the Prompt Coach agent. Let’s go! ","Analyze my prompt and provide feedback on how I could improve it: [insert your prompt]. ","https://www.microsoft365.com/chat","This coach can help you get better at prompting, so you get the results you want. 

To learn more or see what’s ahead on your journey,
visit https://aka.ms/GreatCopilotJourney. "
"22","Get creative with Idea Coach<br>in Microsoft 365 Copilot. ","Having a creative partner to help you spark new ideas can be a game changer. Idea Coach is the agent in Microsoft 365 Copilot that can help you with your creative tasks. 
 
Let’s try it. Go to Microsoft 365 Copilot Chat, open the side pane on the right, and select Idea Coach. Here we go! "," Can you help me find fun exercises for my Brainstorming session? 
 
 ","https://www.microsoft365.com/chat","This coach can help you spark ideas for your projects. 

To learn more or see what’s ahead on your journey,
visit https://aka.ms/GreatCopilotJourney. "
"23","Create images with the Visual Creator<br>agent in Microsoft 365 Copilot. ","Today, we’ll use the Visual Creator agent in Microsoft 365 Copilot to create an image to celebrate a job well done. 
 
Go to Microsoft 365 Copilot Chat, open the side pane on the right, and select Visual Creator. Now use this prompt: ","An image of a simple gold trophy with confetti to recognize a job well done. ","https://www.microsoft365.com/chat"," Add specific details and this coach can help you bring your ideas to life. To learn more or see what’s ahead on your journey, visit https://aka.ms/GreatCopilotJourney. "
"24","Simplify documents with Writing Coach<br>in Microsoft 365 Copilot. ","Have you ever tried to turn a complicated process into easy-to-follow instructions? It can be challenging, but the Writing Coach agent in Microsoft 365 Copilot is here to help! 
 
Try it out by going to Microsoft 365 Copilot Chat, opening the side pane on the right, and selecting Writing Coach. Then use this prompt: ","Help me write instructions to explain [a complex process]. ","https://www.microsoft365.com/chat","Edit this prompt with relevant details and this coach will help you get started. 

To learn more or see what’s ahead on your journey,
visit https://aka.ms/GreatCopilotJourney. "
